cbsa,nombre,tier,gdp_pc,tcac_pc,s_gdp,s_tcac,s_den,s_lqg,s_lqd,s_ocu,s_des,s_for,s_cal,s_bre,s_sub,s_cls,s_ter,s_esc,dim_Business,dim_Employment,dim_Potential,dim_Entrepreneurial,CCPI_M1,CCPI_M2,CCPI_M3,rank_M3,cuadrante
35620,Nueva York,1,100710.27111657053,0.0423801760723452,0.7969502222796896,0.5297522009043154,0.2028471197413054,0.4506652587699026,0.3307927911862693,0.3012658227848102,0.7499121882683526,0.316265,0.3746987951807228,1.0,0.2940410484292484,0.3865682910320472,0.5549909634361765,0.5686152902632637,0.4950537004238032,0.435535,0.5602031131537651,0.5618031268497201,0.513148735106822,0.5013788899617502,0.5258970820375066,3,Motor consolidado
31080,Los Ángeles,1,83740.61550267592,0.0379884484614281,0.6183222684492202,0.4748556057678516,0.2509464012482221,0.3626925783433725,0.3754095555811736,0.3886792452830189,0.7042957042957043,0.258621,0.3206896551724138,0.9197913328348112,0.1908690493713923,0.4866725862323664,0.4311425185457818,0.4753281615999952,0.4267042134521666,0.418071,0.5324443228128566,0.4532353400728885,0.45761371908447795,0.4492289540272334,0.4739063961611898,6,Motor consolidado
16980,Chicago,1,80067.27323375097,0.0237740568191489,0.5796555077236943,0.2971757102393613,0.1686456943960507,0.3436495421808233,0.2990676408557035,0.4400000000000003,0.7216940363007778,0.357143,0.3666666666666666,0.8482533917316526,0.3383535538952085,0.5520763218139201,0.504083966671953,0.5729804761498123,0.3472816136349824,0.471376,0.579561089146927,0.5385322214108826,0.484187731048198,0.4700176466373916,0.5128249330567388,5,Capital estancada
26420,Houston,2,76862.73477610333,0.0432621540646773,0.5459235239589825,0.5407769258084671,0.111334018187444,0.3270368398335621,0.2459054838677921,0.5448275862068964,0.7772996234534695,0.294118,0.3176470588235294,0.7231599188120929,0.1247365563919916,0.6331390035584652,0.397213847130463,0.4957187933253354,0.3812678269471139,0.483473,0.4936784929208499,0.4464663202278992,0.45122141002396576,0.441249768409231,0.4629727512673819,8,Contrapeso emergente
19100,Dallas,2,77671.12767400124,0.0592585779435266,0.5544329228842236,0.7407322242940828,0.1411198879418551,0.3312276432113054,0.2735347766866207,0.6262295081967214,0.825455269181013,0.371622,0.3756756756756756,0.8181818181818181,0.3350611612929477,0.6622811023055138,0.4530527073624948,0.5334025606681774,0.4418781695828667,0.549746,0.6051746939267599,0.4932276340153361,0.5225066243812406,0.5075560832436267,0.541607711511968,2,Motor consolidado
37980,Filadelfia,2,77171.21452731268,0.0343259332158976,0.5491706792348703,0.4290741651987201,0.1495751411783996,0.3286360349609503,0.2813778468892371,0.4857142857142856,0.7503579330990497,0.357143,0.3785714285714286,0.8565858348467045,0.2991439873541258,0.5196124456434297,0.5119535586220125,0.5946686085201297,0.364114005143235,0.492947,0.5584474226147533,0.5533110835710711,0.49220487783226485,0.47812102490074,0.5149132407101544,4,Motor consolidado
33100,Miami,2,68746.49021407592,0.0484553341264575,0.4604893706744833,0.6056916765807191,0.3171250973966182,0.2849612782921612,0.436796736460172,0.4040816326530611,0.6982042347896006,0.277778,0.2555555555555556,0.5633479329131502,0.1265413018742114,0.6775720839296275,0.3969350717808257,0.5184738474162263,0.4170668557359954,0.408905,0.4558204395723297,0.457704459598526,0.4348741887267128,0.4249925051055735,0.4410953190889627,9,Contrapeso emergente
12060,Atlanta,2,73998.08884758559,0.0552320462098774,0.5157693562903747,0.6904005776234678,0.1768298617968629,0.3121861801302321,0.3066592525648718,0.5673469387755102,0.7875457875457875,0.344828,0.3758620689655172,0.8044190435494782,0.3602340630743927,0.6546804187179311,0.5198028959551917,0.5886780420379643,0.4237964939602344,0.518896,0.6064445084472674,0.554240468996578,0.52584436785102,0.5124068794794464,0.5484865947220866,1,Motor consolidado
38300,Pittsburgh,3,54111.15869323243,0.0169814506009879,0.3064332494024466,0.2122681325123498,0.1704533042000242,0.2090900071176722,0.3007443748570255,0.3621621621621623,0.6843625857710365,0.375,0.32,0.602481928568885,0.327706204136559,0.6812671098944075,0.4427904631430036,0.5933876171195109,0.2245611733081232,0.435381,0.5371517475332839,0.5180890401312572,0.4287957402431661,0.4135014789050536,0.46514333504234634,7,Capital estancada
17460,Cleveland,3,51929.09370749207,0.0085878929718197,0.2834641442893902,0.1073486621477465,0.0429311206805137,0.1977779268947076,0.182455139779874,0.3518987341772151,0.6073980664144598,0.308824,0.2411764705882352,0.5169853648114519,0.0957683206350999,0.7105094305246398,0.3729284840622809,0.5575204796006269,0.1578804635030895,0.377324,0.4410877053237305,0.4652244818314539,0.3603791626645685,0.3497979933070229,0.3918880721128191,11,Rezagada
