region,year,pib,index,short,tier,pib_nacional,share_pct
Región Metropolitana De Santiago,2013,57950.69,100.0,Santiago,1,123676.11,46.85681818420712
Región Metropolitana De Santiago,2014,61747.51,106.55181154874947,Santiago,1,133075.08,46.40050563937291
Región Metropolitana De Santiago,2015,67395.59,116.2981665964633,Santiago,1,142536.91,47.282903775590476
Región Metropolitana De Santiago,2016,72096.32,124.40976975425141,Santiago,1,151702.18,47.52490702506715
Región Metropolitana De Santiago,2017,75041.89,129.49266005288288,Santiago,1,161166.30000000002,46.56177501127717
Región Metropolitana De Santiago,2018,79326.31,136.8858765961199,Santiago,1,169996.24,46.66356738243152
Región Metropolitana De Santiago,2019,82149.48,141.75755284363308,Santiago,1,176081.35,46.65427656023763
Región Metropolitana De Santiago,2020,79602.54,137.36254046328006,Santiago,1,181637.58,43.824928739966694
Región Metropolitana De Santiago,2021,91828.49,158.45970082495998,Santiago,1,214809.82,42.748739326721655
Región Metropolitana De Santiago,2022,99978.6,172.52357133280037,Santiago,1,235638.39,42.428824946563246
Región Metropolitana De Santiago,2023,109142.74265719,188.33726165674645,Santiago,1,253842.2737175852,42.996283108706265
Región Del Biobío,2013,7936.35,100.0,Biobío (Concepción),2,123676.11,6.417043679656484
Región Del Biobío,2014,8827.19,111.22480737366674,Biobío (Concepción),2,133075.08,6.633240423376038
Región Del Biobío,2015,9973.59,125.66973482772308,Biobío (Concepción),2,142536.91,6.997198129242453
Región Del Biobío,2016,10403.39,131.08532259791968,Biobío (Concepción),2,151702.18,6.857772248230051
Región Del Biobío,2017,10838.74,136.570841759751,Biobío (Concepción),2,161166.30000000002,6.725190067650619
Región Del Biobío,2018,11745.28,147.9934730701141,Biobío (Concepción),2,169996.24,6.909141049237324
Región Del Biobío,2019,11993.33,151.1189652674088,Biobío (Concepción),2,176081.35,6.811243780218631
Región Del Biobío,2020,12219.91,153.9739300812086,Biobío (Concepción),2,181637.58,6.727633125259652
Región Del Biobío,2021,13824.48,174.19191441909692,Biobío (Concepción),2,214809.82,6.43568343383929
Región Del Biobío,2022,15265.41,192.34799372507513,Biobío (Concepción),2,235638.39,6.478320446850787
Región Del Biobío,2023,16731.171417826,210.81695512201452,Biobío (Concepción),2,253842.2737175852,6.591168276581243
Región De Valparaíso,2013,11029.81,100.0,Valparaíso,2,123676.11,8.918302815313321
Región De Valparaíso,2014,11308.09,102.5229809035695,Valparaíso,2,133075.08,8.49752635880437
Región De Valparaíso,2015,12149.67,110.1530307412367,Valparaíso,2,142536.91,8.523876377002981
Región De Valparaíso,2016,12960.01,117.49984813881653,Valparaíso,2,151702.18,8.543061147835845
Región De Valparaíso,2017,13665.15,123.89288664083968,Valparaíso,2,161166.30000000002,8.478912775189352
Región De Valparaíso,2018,13818.26,125.28103385280436,Valparaíso,2,169996.24,8.12856802009268
Región De Valparaíso,2019,14249.29,129.18889808618644,Valparaíso,2,176081.35,8.092447042233603
Región De Valparaíso,2020,14647.01,132.7947625571066,Valparaíso,2,181637.58,8.06386541815851
Región De Valparaíso,2021,16822.25,152.51622648078254,Valparaíso,2,214809.82,7.831229503381176
Región De Valparaíso,2022,18365.45,166.50740130609685,Valparaíso,2,235638.39,7.793912528429684
Región De Valparaíso,2023,20275.422756578,183.82386239271574,Valparaíso,2,253842.2737175852,7.987409842986053
Región De Antofagasta,2013,12486.78,100.0,Antofagasta,2,123676.11,10.096355714939612
Región De Antofagasta,2014,13639.54,109.23184359778901,Antofagasta,2,133075.08,10.24950727063249
Región De Antofagasta,2015,13136.06,105.19973924422467,Antofagasta,2,142536.91,9.215900639350187
Región De Antofagasta,2016,13030.64,104.35548636237684,Antofagasta,2,151702.18,8.58961947679328
Región De Antofagasta,2017,14916.46,119.45801880068359,Antofagasta,2,161166.30000000002,9.255321987288905
Región De Antofagasta,2018,15934.07,127.60751771073086,Antofagasta,2,169996.24,9.373189665842022
Región De Antofagasta,2019,16090.03,128.85651865412862,Antofagasta,2,176081.35,9.137838845510895
Región De Antofagasta,2020,20057.9,160.63308555127904,Antofagasta,2,181637.58,11.042813937512271
Región De Antofagasta,2021,26676.7,213.6395451829855,Antofagasta,2,214809.82,12.41875255051189
Región De Antofagasta,2022,31583.2,252.93310204872674,Antofagasta,2,235638.39,13.403248935795222
Región De Antofagasta,2023,31290.30046135,250.58742495142866,Antofagasta,2,253842.2737175852,12.326670417458656
